latitude,longitude,building,shelter
25.1671763,121.4459264,,
25.1667319,121.4465107,,
25.166688,121.4465846,,
25.1666853,121.4466516,,
25.1666973,121.4466979,,
25.1667342,121.4467618,,
25.1669633,121.4469625,,
25.1670686,121.4470437,,
25.1671272,121.4470476,,
25.1801855,121.4446369,,
25.1801666,121.4442547,,
25.1800815,121.4438655,,
25.1810224,121.4361491,,
25.1809072,121.4361632,,
25.1807699,121.4362005,,
25.1806748,121.4361947,,
25.1805808,121.4361503,,
25.1805311,121.4361363,,
25.1804307,121.436134,,
25.1799035,121.4361573,,
25.1797387,121.4362379,,
25.179532,121.4363832,,
25.1793411,121.4364864,,
25.17917,121.4365756,,
25.1790474,121.436638,,
25.1790321,121.4366477,,
25.1788835,121.4367419,,
25.1788585,121.4367585,,
25.178619,121.4369176,,
25.1784045,121.4370611,,
25.1782963,121.4371483,,
25.1782094,121.4372263,,
25.1779862,121.437407,,
25.1777791,121.4375901,,
25.1775837,121.4377786,,
25.171479,121.438676,,
25.1715863,121.4385739,,
25.1717732,121.4385122,,
25.1718464,121.438416,,
25.1718777,121.4382501,,
25.1719492,121.4381327,,
25.1721558,121.4378613,,
25.1722736,121.4379456,,
25.1723233,121.4379711,,
25.1723747,121.4379736,,
25.1724169,121.4379649,,
25.1726389,121.4377297,,
25.1727322,121.4376457,,
25.1728082,121.4375869,,
25.1729624,121.4376228,,
25.1744276,121.4413848,,
25.1745572,121.4410554,,
25.1746743,121.440688,,
25.1747137,121.4405964,,
25.1747485,121.4404273,,
25.174773,121.4402187,,
25.1747768,121.4401812,,
25.1748218,121.4394825,,
25.1739169,121.4389173,,
25.1742023,121.438429,,
25.17425,121.4383902,,
25.174306,121.4383767,,
25.1746805,121.4384143,,
25.1750034,121.4384545,,
25.1750907,121.4385269,,
25.1751817,121.4387887,,
25.1752303,121.4390553,,
25.1753675,121.4393517,,
25.1754718,121.4395274,,
25.1755641,121.4396012,,
25.1756624,121.4396414,,
25.1762124,121.4397085,,
25.1762673,121.4397115,,
25.1764906,121.4397544,,
25.1768935,121.4398939,,
25.1836356,121.4352663,,
25.1836877,121.4353185,,
25.1837576,121.4353109,,
25.1838619,121.4352546,,
25.1839629,121.4351695,,
25.1840319,121.4350266,,
25.1840409,121.4348244,,
25.1840464,121.4344419,,
25.1840999,121.4343011,,
25.184149,121.4341589,,
25.1842733,121.4337991,,
25.1844578,121.4333059,,
25.1849646,121.4324705,,
25.1851986,121.4320623,,
25.1852343,121.432,,
25.1854479,121.4316674,,
25.1855426,121.4313563,,
25.1855609,121.4307628,,
25.1855633,121.4306233,,
25.1855949,121.4304007,,
25.1856774,121.4301834,,
25.1857769,121.4300037,,
25.1859899,121.4296452,,
25.1862281,121.429284,,
25.1863349,121.4291392,,
25.1864805,121.4290265,,
25.1868703,121.4288695,,
25.1859969,121.4373703,,
25.1862158,121.4358321,,
25.1863928,121.434518,,
25.1864068,121.4343668,,
25.1864369,121.4340418,,
25.1865808,121.4329872,,
25.1868395,121.4309599,,
25.1870107,121.4296228,,
25.1870605,121.4292261,,
25.1871378,121.4291191,,
25.1820456,121.4383046,,
25.1820099,121.4380144,,
25.1819749,121.4378873,,
25.1819257,121.4377565,,
25.1816053,121.4372255,,
25.181339,121.4367994,,
25.1811534,121.4365017,,
25.1810463,121.4362671,,
25.1808892,121.4533269,,
25.1808802,121.4530174,,
25.1809099,121.4527901,,
25.1804797,121.4533527,,
25.1807066,121.4533084,,
